_step,088fkgn4/performance,mykgoimf/performance,3imjf74g/performance,oo9c0qem/performance,ly65cw3v/performance,zpgnwnc9/performance,58kq0iy8/performance,59fyvulg/performance,l5dgfch6/performance,34qcdwss/performance,xt5j3tsv/performance,0n1c67h8/performance,0pztk0hx/performance,h5v2pfi4/performance,wfq8sv9d/performance,qt5m0csx/performance,ggu2lkjn/performance,7av45b2y/performance,yxq0k0km/performance,qz02l75f/performance,vu4l80fw/performance,etyj8887/performance,dj5l9jm3/performance,dd4xmowq/performance,sbkiya3c/performance,cyn4hl4q/performance,8v2ehep7/performance,soz4gaal/performance,9lysum4f/performance,adfg3esn/performance
1468006400.0,0.5494507644325495,0.5705499909818172,0.5243959035724401,0.5692921485751867,0.5630187224596739,0.5311297196894884,0.5590248741209507,0.5776539519429207,0.6070550046861172,0.5379468966275454,0.5737318582832813,0.6048869453370571,0.5571494791656733,0.5937130786478519,0.5748639330267906,0.5691586099565029,0.5480350945144892,0.5442888718098402,0.5508587881922722,0.5428276564925909,0.5490202661603689,0.5723382458090782,0.6096372008323669,0.5728725381195545,0.5596196055412292,0.5803472641855478,0.5528840459883213,0.5497933253645897,0.5150826945900917,0.5941148437559605
1470103552.0,0.5663793459534645,0.5712851230055094,0.5155801773071289,0.5661729797720909,0.5768783241510391,0.5353461876511574,0.5594888739287853,0.5791802350431681,0.581959392875433,0.5542093720287085,0.5841098427772522,0.6064775288105011,0.5599790085107088,0.605515468865633,0.5882422812283039,0.5732307881116867,0.5509488265961409,0.5852314755320549,0.5480115730315447,0.541320102289319,0.5563582796603441,0.5642469674348831,0.6026669666171074,0.5671780183911324,0.565888674929738,0.5925255753099918,0.5371176265180111,0.5284005254507065,0.5161355435848236,0.5689260736107826
1474297856.0,0.5613375920802355,0.56103072501719,0.5264831352978945,0.5802231170237064,0.5626079700887203,0.5200345870107412,0.5646412968635559,0.572224885225296,0.5716262925416231,0.5554947294294834,0.5822506323456764,0.5877092033624649,0.5606810133904219,0.6170225515961647,0.5875662472099066,0.5775168798863888,0.55627197958529,0.5751062612980604,0.5556713566184044,0.5586884748190641,0.5464183203876019,0.5560423713177443,0.5838554743677378,0.5802563969045877,0.5654029287397861,0.5845714546740055,0.5492307785898447,0.5253837369382381,0.5269839037209749,0.5902636796236038
1487929344.0,0.5727292075753212,0.5670667942613363,0.539398368448019,0.5679613314568996,0.569332342594862,0.559522207826376,0.5854325145483017,0.5968847051262856,0.556581649929285,0.5553319696336985,0.578001357614994,0.5863952059298754,0.5864042639732361,0.6073567569255829,0.5920369364321232,0.6022772900760174,0.557029427960515,0.5528329834342003,0.5629931204020977,0.5533295031636953,0.5469033122062683,0.5670710597187281,0.601249199360609,0.6032814495265484,0.5776843708008528,0.5870248023420572,0.5509943626821041,0.5354811120778322,0.5187458302825689,0.5976568385958672
1495269376.0,0.5642831269651651,0.5640749745070934,0.5322908312082291,0.5752224773168564,0.6013131476938725,0.5501851700246334,0.5553897097706795,0.585805943235755,0.5341638252139091,0.5709517113864422,0.561898386105895,0.5867626816034317,0.5822302140295506,0.5983816161751747,0.5931548811495304,0.5894665457308292,0.5560642518103123,0.5726408995687962,0.5600815452635288,0.5548396166414022,0.5522379875183105,0.5621675848960876,0.6019645221531391,0.5803302004933357,0.5650538392364979,0.5971111319959164,0.5559026375412941,0.5323354657739401,0.5456429570913315,0.6088316328823566
1496317952.0,0.5958653688430786,0.5582380257546902,0.5423227697610855,0.5788118280470371,0.6027672551572323,0.5402056686580181,0.5719600431621075,0.5920163691043854,0.5328893810510635,0.5489381346851587,0.5927812606096268,0.5983467772603035,0.5726441778242588,0.5976103991270065,0.606362447142601,0.6005016565322876,0.5528147667646408,0.5874962843954563,0.5921182408928871,0.5587161853909492,0.5451896768063307,0.5894916169345379,0.5995003804564476,0.5966916158795357,0.5727545730769634,0.5923349745571613,0.5570226684212685,0.5249339286237955,0.5337342899292707,0.6009222827851772
1502609408.0,0.5607932154089212,0.5616159103810787,0.5467017851769924,0.5741525590419769,0.593036912381649,0.5444500148296356,0.5567930154502392,0.5979790575802326,0.5283966045826674,0.5576672106981277,0.5789415873587132,0.5785677395761013,0.5471577364951372,0.6084483377635479,0.5902238376438618,0.5637395344674587,0.5693469885736704,0.542667206376791,0.558005241677165,0.55551528185606,0.5529251266270876,0.5826775040477514,0.619408380240202,0.5859416462481022,0.5621728263795376,0.6052805669605732,0.5726995095610619,0.5333670973777771,0.5365506168454885,0.606384664773941
1503657984.0,0.5791458040475845,0.565129267051816,0.52858567237854,0.5757228471338749,0.6016300395131111,0.5467367265373468,0.5622861292213202,0.5928972959518433,0.5254453029483557,0.5682332701981068,0.5669703595340252,0.5815045610070229,0.5602309815585613,0.616260003298521,0.5821701399981976,0.5693233758211136,0.5829679109156132,0.5612050723284483,0.5814077034592628,0.5466988272964954,0.5441782996058464,0.5727825723588467,0.6110305823385715,0.5820271093398333,0.5685473494231701,0.5889188647270203,0.569718424230814,0.5296309739351273,0.5244243275374174,0.60914671048522
1504706560.0,0.5699498243629932,0.5727921556681395,0.535383827984333,0.5582168437540531,0.5861556008458138,0.5259050130844116,0.5739064104855061,0.5971437208354473,0.5046311188489199,0.5635258257389069,0.5740247145295143,0.5905532240867615,0.5710010062903166,0.6000080443918705,0.5858340635895729,0.581836249679327,0.5925941243767738,0.5587575938552618,0.5808496400713921,0.5592915900051594,0.5443276800215244,0.57285444624722,0.6370921730995178,0.5922064427286386,0.5851858574897051,0.586784552782774,0.5693821515887976,0.518959317356348,0.5427798740565777,0.6211485229432583
1518338048.0,0.5784937180578709,0.5785188488662243,0.5438409186899662,0.5664419196546078,0.6077826209366322,0.5521276164799929,0.5728363823145628,0.6016858592629433,0.5601527635008097,0.5817512832581997,0.5779418759047985,0.6248145401477814,0.5692470297217369,0.6105985306203365,0.5896094404160976,0.6114943362772465,0.587373286485672,0.5834724735468626,0.5792576372623444,0.5637245923280716,0.5687034949660301,0.5646887049078941,0.6098268553614616,0.5916455015540123,0.5715994648635387,0.596437856554985,0.5655951648950577,0.5227895751595497,0.5550139006227255,0.6038751490414143
