_step,0ijzjgez/performance,o6h4gxel/performance,mynx3znr/performance,0m3f4hi7/performance,ysa26f2x/performance,2m3hkyj0/performance,35er9m8w/performance,m9rzeoqe/performance,ljjvx7mw/performance,lepdlh5k/performance,l4js5vdt/performance,kfk4rjzi/performance,w46k4y7f/performance,8juwiqli/performance,ht4k8745/performance,v3nkpjva/performance,8pudt8ca/performance,qpa5qjdt/performance,gpt7mijy/performance,qsqgi8rr/performance,u0g2sfwl/performance,b71s6gzq/performance,bccphubb/performance,fryfjlwg/performance,frdji44f/performance,fou2xw16/performance,dxbjmwgn/performance,e99y2yva/performance,fmycqkpu/performance,eq4chqvl/performance
1593835520.0,0.5154691934585571,0.30837062932550907,0.0003854919268633239,0.2735528163611889,0.3488628901541233,0.4483451824635267,0.0003844749389827484,0.00038496351953654084,0.6658261269330978,0.5947678536176682,0.30091992020606995,0.5441257655620575,0.6005895286798477,0.30318059399724007,0.6388265378773212,0.0003859146363538457,0.3125463053584099,0.00038455692447314505,0.3056958392262459,0.5771858207881451,0.31510051526129246,0.3368654865771532,0.2699767164885998,0.4978980328887701,0.32702612318098545,0.5680067203938961,0.0003831746980722528,0.573529314249754,0.47462067008018494,0.5946792289614677
1595932672.0,0.49287317134439945,0.3059361167252064,0.0003831593694485491,0.27433057129383087,0.35059721395373344,0.4657332208007574,0.00038348965426848736,0.0003837192271021195,0.6817869059741497,0.6053533479571342,0.30521012656390667,0.5320924371480942,0.6035306863486767,0.30881625041365623,0.6256544850766659,0.0003860419601551257,0.30530720949172974,0.0003841017241938971,0.30828263238072395,0.5772030018270016,0.3103478606790304,0.33483684435486794,0.2714423881843686,0.487609189003706,0.3270301166921854,0.554498940706253,0.0003849517925118562,0.5737462304532528,0.4760647136718035,0.5988533310592175
1596981248.0,0.5063596460968256,0.3036067485809326,0.00038550297176698223,0.28241637721657753,0.34638055972754955,0.44887613505125046,0.00038419654629251454,0.0003852089212159626,0.6671240776777267,0.6052657552063465,0.2982039973139763,0.5281645469367504,0.6167162470519543,0.31540505588054657,0.624927219003439,0.0003848416599794291,0.30941286124289036,0.00038477119232993573,0.3048768900334835,0.5610459446907043,0.31491679325699806,0.33819397538900375,0.2748617734760046,0.4942662660032511,0.334120811894536,0.5680628456175327,0.00038385183142963797,0.5790971331298351,0.4724546857178211,0.598664402961731
1598029824.0,0.5148667506873608,0.3075211588293314,0.00038526449134224094,0.2771607879549265,0.346324909478426,0.461864760145545,0.00038358192978193983,0.0003848520773317432,0.668676346540451,0.5936850309371948,0.30037330836057663,0.5479340981692076,0.6076630651950836,0.30829645693302155,0.6333609446883202,0.00038506289092765655,0.30870161950588226,0.00038636691169813275,0.31033617816865444,0.5749436914920807,0.30830330587923527,0.34466573409736156,0.276929821819067,0.48840312473475933,0.3263494074344635,0.5697474218904972,0.0003836571631836705,0.5886551402509212,0.45739238895475864,0.6172899529337883
1599078400.0,0.4915879052132368,0.306995902210474,0.0003844593848043587,0.278034508228302,0.34006081707775593,0.48371548391878605,0.000384567354558385,0.000384115823180764,0.680030170828104,0.5931534133851528,0.303128844127059,0.5340367872267962,0.5968939699232578,0.31160355918109417,0.6264029182493687,0.00038463910823338665,0.3097307588905096,0.0003852314312098315,0.299640666693449,0.5784817896783352,0.3069300353527069,0.3390069417655468,0.27337279729545116,0.49721101857721806,0.32685718685388565,0.574704073369503,0.00038446766302513424,0.5892154574394226,0.47552023082971573,0.6029010266065598
1600126976.0,0.510043628513813,0.30701164714992046,0.00038369958565454,0.27962561696767807,0.3471856005489826,0.45846306160092354,0.00038474002212751657,0.00038454178502433933,0.6977378353476524,0.6109517402946949,0.30167737416923046,0.5404905695468187,0.6135693080723286,0.30665734969079494,0.6297009438276291,0.0003837030380964279,0.3100988604128361,0.0003849044023809256,0.30688641034066677,0.579035397619009,0.30787900276482105,0.34286554530262947,0.2726169005036354,0.47912299633026123,0.32744073309004307,0.5533885397017002,0.00038406379098887555,0.5850855708122253,0.47199684754014015,0.6048258729279041
1602224128.0,0.48687777295708656,0.29185044951736927,0.00038491284976771567,0.2845261488109827,0.34975758381187916,0.4541000220924616,0.00038454647256003227,0.0003857311312458478,0.6771403588354588,0.5946966521441936,0.296148220077157,0.5558845847845078,0.61294149979949,0.3165274951606989,0.6350864917039871,0.00038507315002789255,0.3114055395126343,0.00038410062734328676,0.3126232083886862,0.5980622619390488,0.31233018077909946,0.33656115643680096,0.27755289524793625,0.47353316843509674,0.32637003995478153,0.5687789395451546,0.00038520484122273047,0.5958027020096779,0.4669146593660116,0.5980339124798775
1604321280.0,0.5178385581821203,0.29672412015497684,0.00038556346225959715,0.2790637332946062,0.3425377123057842,0.46959154680371284,0.0003855716950056376,0.0003851644432870671,0.6653481796383858,0.6026493012905121,0.2979637123644352,0.5480408743023872,0.5988389290869236,0.3101943116635084,0.625249981880188,0.00038589197720284574,0.31207272969186306,0.0003854606984532438,0.3097836449742317,0.5818195901811123,0.32174607180058956,0.33534487895667553,0.27738665230572224,0.4797330182045698,0.3248498998582363,0.5569430999457836,0.000384112343454035,0.5741753932088614,0.4719882942736149,0.6123617440462112
1609564160.0,0.5081523898988962,0.307577021420002,0.0003853828602586873,0.2857246082276106,0.35428037121891975,0.4694047309458256,0.00038466158184746746,0.0003851434576063184,0.6727438494563103,0.5912202298641205,0.29412300139665604,0.5481180604547262,0.6026804260909557,0.31743887811899185,0.6330321542918682,0.0003843848880933365,0.3040256481617689,0.00038374060386558995,0.30477718263864517,0.5866382904350758,0.31015666015446186,0.3344792630523443,0.27706153132021427,0.49865860864520073,0.3215153943747282,0.5594076886773109,0.00038383263927244116,0.591929130256176,0.4637115690857172,0.5978103652596474
1611661312.0,0.48700874112546444,0.309172373265028,0.0003851346700685099,0.2797059156000614,0.34587847255170345,0.4636927433311939,0.0003855197373923147,0.0003849040949717164,0.6811555959284306,0.5954010337591171,0.30600323900580406,0.5426454581320286,0.6144308410584927,0.3136598914861679,0.6404054686427116,0.00038454990863101557,0.3028559349477291,0.0003839135133603122,0.30436001159250736,0.5748482048511505,0.31680738739669323,0.34221032075583935,0.2754423823207617,0.48850448802113533,0.3187901396304369,0.5829308293759823,0.0003841877642116742,0.595577709376812,0.47487881779670715,0.59603625908494
